cubic_start,cubic_end,crc32_start,crc32_end,edn_start,edn_end,huffbench_start,huffbench_end,minver_start,minver_end,st_start,st_end,ud_start,ud_end,matmult_start,matmult_end,mont64_start,mont64_end,nbody_start,nbody_end,nettle_aes_start,nettle_aes_end,nettle_sha256_start,nettle_sha256_end,primecount_start,primecount_end,sg_start,sg_end,tarfind_start,tarfind_end
44279.371993441, 44281.845398209,44281.893183164, 44285.691146449,44285.740907960, 44293.315608276,44293.362079345, 44297.166735287,44297.227071989, 44299.239889912,44299.286221088, 44299.668605519,44299.716790058, 44305.468966678,44305.516447443, 44310.394003556,44310.440025115, 44314.377624368,44314.423962775, 44314.701299096,44314.749842285, 44319.85376990,44319.134290668, 44323.971214664,44324.17270210, 44329.710909351,44329.758064951, 44343.45047490,44343.92251484, 44344.585297259
45529.594334419, 45532.49194754,45532.96480098, 45539.331988886,45539.379436048, 45546.940388245,45546.988728826, 45550.823805651,45550.872228925, 45557.953216914,45557.999537708, 45558.380382017,45558.426424423, 45584.274949888,45584.323074543, 45589.166614532,45589.212821446, 45593.156999638,45593.203135499, 45593.482069544,45593.528684385, 45597.833200840,45597.880345128, 45606.83837908,45606.130716113, 45611.820125675,45611.867916574, 45625.89141437,45625.135899538, 45626.622287813
46816.157120793, 46818.617105996,46818.663652411, 46822.476463641,46822.523345266, 46830.77045370,46830.124353052, 46833.934264816,46833.982115369, 46835.992940008,46836.39758116, 46836.428017579,46836.474244284, 46842.279228497,46842.324588823, 46847.173275633,46847.219421601, 46851.152911354,46851.198773418, 46851.472367202,46851.517565393, 46855.845554931,46855.893144732, 46860.730440382,46860.774919657, 46866.470673666,46866.518349548, 46879.787824258,46879.835697947, 46881.295472200
48065.182605078, 48067.625386889,48067.672648811, 48071.476762675,48071.523980429, 48079.77250497,48079.125398981, 48082.978218192,48083.26116839, 48085.54611549,48085.101733972, 48085.483718474,48085.529228616, 48091.336017384,48091.383789529, 48096.246433078,48096.304444848, 48100.246245769,48100.293190025, 48100.572186551,48100.618345118, 48104.924485909,48104.972461912, 48109.799468727,48109.846200219, 48115.533089924,48115.581190220, 48128.775579583,48128.822964706, 48130.309235273
49314.679512590, 49317.151461666,49317.200895772, 49321.1174050,49321.49072175, 49369.231271311,49369.278112336, 49373.101802954,49373.149433875, 49375.159166890,49375.205704638, 49375.586223329,49375.631893345, 49381.438126917,49381.485417237, 49386.351330781,49386.398448312, 49390.343164747,49390.389324112, 49390.664151255,49390.710923749, 49394.998898282,49395.46936688, 49399.858579111,49399.905197912, 49405.603288014,49405.649947030, 49420.265669313,49420.313742298, 49421.810785805
50605.721869326, 50608.257997800,50608.305335018, 50612.107717555,50612.154271079, 50619.743207232,50619.790920426, 50627.318096220,50627.366151491, 50629.385869435,50629.431612138, 50629.812023645,50629.857041697, 50635.665617565,50635.713361821, 50640.572700063,50640.618813419, 50644.561998236,50644.608713230, 50644.887744637,50644.935257709, 50649.253881703,50649.302176835, 50654.129468353,50654.175160488, 50659.959585903,50660.6064021, 50674.573978586,50674.621464620, 50676.110644187
51863.328594437, 51866.170655279,51866.218258537, 51870.18531291,51870.65822992, 51877.623345771,51877.670198782, 51881.613402528,51881.665082230, 51883.679984429,51883.726797629, 51884.109125635,51884.154479927, 51889.944653504,51889.992053540, 51894.868414158,51894.914754277, 51898.850859894,51898.896607746, 51899.177190056,51899.222132963, 51903.509730597,51903.557163009, 51908.388167135,51908.434905164, 51914.137716293,51914.185080345, 51927.490179572,51927.536747185, 51929.44555686
53116.836953414, 53119.295578658,53119.343130401, 53123.149727770,53123.195716741, 53130.747970528,53130.795758608, 53135.362902421,53135.411508326, 53137.426580924,53137.472682261, 53137.854827183,53137.899393624, 53170.251679894,53170.297940699, 53175.481387249,53175.539200870, 53179.473691037,53179.519554320, 53179.794699716,53179.841018555, 53184.150901738,53184.198389489, 53189.17543248,53189.63516409, 53194.757197038,53194.804307493, 53208.300538813,53208.349485237, 53209.833528175
54396.445577089, 54398.949149476,54398.996780266, 54402.797708511,54402.844550914, 54410.401369701,54410.458973467, 54414.276377702,54414.323579366, 54416.358203683,54416.405413136, 54416.787045811,54416.833660017, 54422.644434760,54422.692035820, 54427.563618048,54427.610307351, 54431.561840008,54431.607664538, 54431.888153115,54431.933984097, 54436.200000449,54436.247018530, 54441.68281322,54441.115567207, 54446.804711822,54446.852346452, 54460.170553404,54460.219188870, 54461.717289456
55650.228482490, 55652.854833713,55652.903336453, 55656.701495873,55656.747545721, 55664.420625694,55664.467780967, 55668.297907434,55668.345419426, 55670.378816816,55670.424325006, 55670.806336512,55670.853171918, 55676.642607439,55676.690125344, 55681.539498756,55681.584393010, 55685.524488041,55685.569683464, 55685.849019947,55685.895369207, 55690.205436771,55690.253143519, 55695.82353309,55695.128685356, 55700.823392757,55700.871035287, 55714.65443606,55714.113380057, 55715.599368915
56899.197471437, 56901.654749690,56901.702590299, 56905.500808439,56905.546772674, 56913.106209846,56913.152969829, 56916.966528524,56917.14179739, 56919.42382007,56919.89365383, 56919.470742948,56919.515966637, 56925.292464735,56925.339895167, 56930.215955721,56930.262253321, 56934.693251338,56934.739572893, 56935.16937669,56935.62718169, 56953.43187662,56953.90395386, 56957.888941348,56957.934071381, 56963.627372583,56963.674074495, 56977.196697726,56977.244207193, 56978.734198207
58162.968441998, 58165.433267201,58165.481439120, 58169.279643900,58169.326326522, 58177.62282928,58177.108850063, 58180.976493252,58181.24592005, 58183.38993776,58183.85466616, 58183.465917289,58183.511024008, 58189.286142446,58189.333304444, 58194.154767573,58194.199949678, 58198.162617444,58198.208848909, 58198.486341956,58198.532812233, 58202.822714809,58202.869350208, 58207.666829042,58207.713887969, 58214.867016196,58214.915780031, 58229.650197530,58229.698401550, 58231.181574973
59414.633014829, 59417.100883979,59417.147966422, 59420.951312073,59420.998506315, 59428.555521428,59428.616362007, 59436.669620331,59436.717016296, 59438.759144083,59438.805778053, 59439.188616992,59439.234900923, 59445.47518179,59445.94050588, 59449.964528085,59450.11607549, 59453.954578465,59454.977275, 59454.277098430,59454.323679288, 59458.602448333,59458.649998006, 59463.693504802,59463.739810274, 59469.439861040,59469.485988970, 59483.34631052,59483.83843261, 59484.589030972
60668.330359486, 60670.837164768,60670.884946667, 60674.686939968,60674.734097329, 60682.287427692,60682.334875058, 60686.153431954,60686.201233726, 60688.227785431,60688.275048336, 60688.658625814,60688.705162128, 60694.543257456,60694.590686664, 60699.471001919,60699.517489165, 60703.476230102,60703.523048820, 60703.810259754,60703.856205198, 60708.187460659,60708.236691659, 60713.87969458,60713.141444492, 60718.837070097,60718.884315127, 60732.69439227,60732.117320266, 60733.598369748
61918.596324582, 61921.81997093,61921.129257989, 61924.935505887,61924.982174181, 61932.589946111,61932.638991774, 61936.457534483,61936.504443946, 61938.516380326,61938.562437715, 61938.945616362,61938.990956547, 61944.797196463,61944.843594746, 61949.720546438,61949.765838734, 61953.710865735,61953.757235731, 61954.32527629,61954.80639121, 61958.373432331,61958.420532102, 61963.229674987,61963.277303748, 61968.971333639,61969.18668742, 61982.287721347,61982.334767196, 61983.844708285
63169.556761923, 63172.12560869,63172.60237886, 63175.863500404,63175.910026318, 63183.462912533,63183.509844485, 63187.322594425,63187.370827235, 63189.386283089,63189.433002544, 63189.813658980,63189.857877629, 63195.634754005,63195.681449033, 63200.571592259,63200.618211368, 63204.559337470,63204.604902573, 63204.879164270,63204.924930971, 63209.235237441,63209.283267892, 63214.94323292,63214.141167173, 63219.828245730,63219.875625317, 63233.169991554,63233.217419055, 63234.697502122
64421.77702951, 64423.541468010,64423.588950908, 64427.394163592,64427.440716212, 64434.995691152,64435.43738469, 64438.858396535,64438.905588634, 64440.922457141,64440.968646385, 64441.350966189,64441.396570543, 64447.215678302,64447.262174373, 64452.97462296,64452.143803401, 64456.103347548,64456.150010593, 64456.425737793,64456.473453723, 64460.760786752,64460.807395447, 64465.626370932,64465.692614913, 64471.385855828,64471.432645361, 64484.728902697,64484.776827092, 64486.245167774
65684.529514554, 65686.996321870,65687.44804326, 65690.828326839,65690.875471416, 65698.437584382,65698.485138303, 65702.297612750,65702.344964390, 65704.358244346,65704.420633227, 65704.804701144,65704.852355516, 65710.783417250,65710.830572540, 65715.693499598,65715.739773739, 65719.672341843,65719.718508220, 65719.996482726,65720.44925413, 65734.425785743,65734.472867544, 65739.314467889,65739.360702613, 65745.52529875,65745.113428073, 65758.403343276,65758.451441711, 65759.973754125
66948.255941886, 66950.742837700,66950.789417068, 66954.582836943,66954.630255995, 66962.198073437,66962.245703422, 66966.61759266,66966.123232231, 66968.391726491,66968.436032928, 66968.816714578,66968.862567485, 66974.722533636,66974.770592090, 66979.622188773,66979.669166915, 66983.608566967,66983.655331668, 66983.932421665,66983.978016522, 66988.756407403,66988.803636828, 66993.677001420,66993.722886540, 66999.440939888,66999.487142650, 67012.817635437,67012.864815056, 67014.336839333
68199.816407408, 68202.322695043,68202.369420362, 68206.174549324,68206.221351000, 68213.798812903,68213.845332110, 68217.667722447,68217.714790067, 68219.721576621,68219.767499652, 68220.151865239,68220.197497777, 68225.973065164,68226.19552695, 68230.862610226,68230.914526428, 68234.847449393,68234.894097213, 68235.167753142,68235.214323279, 68239.502320995,68239.550190211, 68244.353102993,68244.398833409, 68250.86659902,68250.133566281, 68263.446451055,68263.494426952, 68264.964241709
69512.943112999, 69515.490493107,69515.537673291, 69519.334397725,69519.381410553, 69526.935571955,69526.982822288, 69532.58976807,69532.119022684, 69534.138453580,69534.184404753, 69534.565568538,69534.610985858, 69540.380451009,69540.427916136, 69552.605090552,69552.651291812, 69557.545526699,69557.591567626, 69557.870511609,69557.935703861, 69576.50648817,69576.99005153, 69580.943872608,69580.991066162, 69586.680790852,69586.728816810, 69599.991041046,69600.37909429, 69601.529352298
70802.432251936, 70804.997417303,70805.46329614, 70808.846143525,70808.892725313, 70856.937177232,70856.985127453, 70860.806107443,70860.862023666, 70862.884696641,70862.930814275, 70863.313336218,70863.359508760, 70869.128871827,70869.175809431, 70874.37508769,70874.84744461, 70878.30425722,70878.78497416, 70878.355222074,70878.402598550, 70882.711069870,70882.758634988, 70887.558993974,70887.607504718, 70894.640848647,70894.687819936, 70907.983968810,70908.31035128, 70909.523144564
72093.252009974, 72095.715443034,72095.762552440, 72099.563498263,72099.611206240, 72107.188455009,72107.235403593, 72111.48173625,72111.95014439, 72113.116497874,72113.163317877, 72113.544256210,72113.589851913, 72119.358646334,72119.406203205, 72124.272952808,72124.319894043, 72128.251860124,72128.297982880, 72128.574803291,72128.621895662, 72132.937922295,72132.985318429, 72137.785636038,72137.831818210, 72143.529597693,72143.576688222, 72156.894711477,72156.944510495, 72158.461094344
73392.613065029, 73395.134146016,73395.181498628, 73398.986327757,73399.33093686, 73406.590429866,73406.637625292, 73410.449299136,73410.497645052, 73412.577746577,73412.624343607, 73413.7804472,73413.55714483, 73418.860862884,73418.908499966, 73423.733593935,73423.779202272, 73427.725434402,73427.771619164, 73428.43775729,73428.91109111, 73432.394786207,73432.442122963, 73437.265091302,73437.312593751, 73443.12530096,73443.79226266, 73456.309715753,73456.356619913, 73457.869554196
74648.883453496, 74651.338330416,74651.385820794, 74655.206695101,74655.254207151, 74662.803975226,74662.851754447, 74666.670389077,74666.718286451, 74668.706823460,74668.753762994, 74669.137670369,74669.183220655, 74674.965685528,74675.12625748, 74693.270363772,74693.315729342, 74697.263775381,74697.311640934, 74697.585598802,74697.631453250, 74701.912552347,74701.959774425, 74706.798388234,74706.845014261, 74712.535012773,74712.582338755, 74725.915697350,74725.964596070, 74727.468583361
75934.655491477, 75937.170870336,75937.219259904, 75941.18436213,75941.66044400, 75948.648440623,75948.695903967, 75952.504551575,75952.551618548, 75954.569020817,75954.615727914, 75954.996968261,75955.42664892, 75960.858498277,75960.905501654, 76006.509716753,76006.555830249, 76010.500911222,76010.546243639, 76010.820624477,76010.867161392, 76015.159431848,76015.207142838, 76020.40307792,76020.86827619, 76025.779116137,76025.826481505, 76039.874869384,76039.923771807, 76041.401053958
77230.319573780, 77232.763747841,77232.811120867, 77236.608234895,77236.655513308, 77244.232568087,77244.279420497, 77248.87787609,77248.135408271, 77250.121134433,77250.167961584, 77250.549007828,77250.594117310, 77256.388929026,77256.435909676, 77261.298810200,77261.344761466, 77265.280611139,77265.327250901, 77265.603559184,77265.649890606, 77269.955100135,77270.2834378, 77274.812593476,77274.858961136, 77280.546197621,77280.593475846, 77293.869704602,77293.917170170, 77295.404411633
