cubic_start,cubic_end,crc32_start,crc32_end,edn_start,edn_end,huffbench_start,huffbench_end,minver_start,minver_end,st_start,st_end,ud_start,ud_end,matmult_start,matmult_end,mont64_start,mont64_end,nbody_start,nbody_end,nettle_aes_start,nettle_aes_end,nettle_sha256_start,nettle_sha256_end,primecount_start,primecount_end,sg_start,sg_end,tarfind_start,tarfind_end
17076.505323495, 17079.813045551,17079.862504981, 17230.841115452,17230.887897315, 17283.759941591,17283.809611369, 17318.667664817,17318.717906962, 17331.720934433,17331.769973713, 17339.209300679,17339.256419610, 17377.555733731,17377.616406944, 17433.957071953,17434.5432271, 17467.886065744,17467.933981975, 17469.156627825,17469.205171108, 17479.202786427,17479.250985275, 17490.39887206,17490.102211336, 17531.182111112,17531.249279047, 17607.696554905,17607.753315084, 17641.303915033
18327.949896244, 18331.200371396,18331.250087028, 18482.159332231,18482.207731741, 18536.926739401,18536.975477259, 18571.735329569,18571.785482604, 18584.782939632,18584.831950166, 18592.297613159,18592.345208711, 18630.624715219,18630.672686394, 18686.958654665,18687.6265545, 18720.894993155,18720.943531423, 18722.165390051,18722.213238336, 18732.192003493,18732.241808737, 18743.427247409,18743.485303670, 18784.554251236,18784.602608459, 18861.124694400,18861.177946723, 18894.722639758
19584.929384705, 19588.184832131,19588.235401304, 19739.189579171,19739.237565498, 19792.95972880,19792.146282729, 19826.973494261,19827.22613546, 19839.973017769,19840.21696031, 19847.474234201,19847.522396914, 19885.840669117,19885.888488046, 19942.94180737,19942.142726893, 19975.990961411,19976.38784024, 19977.276598247,19977.325533644, 19987.323947603,19987.373491646, 19998.266921226,19998.315026542, 20039.359713863,20039.406498804, 20115.953159067,20116.949264, 20149.787185301
20836.633995110, 20839.881563106,20839.932932699, 20990.781160426,20990.827972340, 21043.653245054,21043.701420972, 21078.308351817,21078.449236531, 21091.472967186,21091.517291998, 21098.972688493,21099.20472673, 21137.309355893,21137.357019472, 21193.572871310,21193.622064817, 21227.535636747,21227.584548487, 21228.817753090,21228.866304104, 21238.786092847,21238.835588058, 21249.590552648,21249.639640635, 21290.707294279,21290.755562735, 21367.224510244,21367.277990708, 21400.855053618
22131.427019398, 22134.641537903,22134.690717085, 22285.737668048,22285.784564194, 22338.679872745,22338.729390337, 22373.490398464,22373.540731028, 22386.552575062,22386.601577570, 22394.48674956,22394.96293639, 22432.373100490,22432.421435082, 22488.698122209,22488.746743999, 22522.591482458,22522.640504612, 22523.859510042,22523.907634318, 22533.906058725,22533.954880821, 22544.778119094,22544.826867174, 22585.875856212,22585.922997618, 22662.346822304,22662.399395564, 22695.914830574
23383.505259013, 23386.798895289,23386.848706493, 23537.700917956,23537.750356864, 23590.615510418,23590.665984539, 23625.478903698,23625.529451615, 23638.553087407,23638.601101546, 23646.64580400,23646.111744313, 23684.403720363,23684.451320283, 23740.659003971,23740.703791523, 23774.599393545,23774.647930167, 23775.887553025,23775.934839848, 23785.874318707,23785.924012976, 23796.715077072,23796.763398079, 23837.819315617,23837.868595409, 23914.404408014,23914.456740165, 23948.40799181
24648.993853701, 24652.252705527,24652.302804580, 24803.244902576,24803.291532879, 24856.153859626,24856.204359093, 24891.31281016,24891.82080089, 24904.95729132,24904.144576794, 24911.587680416,24911.633338076, 24949.914249441,24949.962692621, 25006.456749095,25006.505282234, 25040.400684652,25040.448602341, 25041.671463778,25041.718721605, 25051.713201746,25051.762832127, 25062.572963585,25062.621736498, 25103.653870818,25103.703420135, 25180.243083325,25180.296240059, 25213.845254082
25934.103765977, 25937.330509531,25937.380904701, 26088.235266894,26088.282696124, 26141.174770776,26141.240988550, 26176.13142645,26176.62513159, 26189.78808394,26189.127438149, 26196.570069309,26196.619303157, 26234.982686375,26235.28536612, 26291.212456690,26291.260316141, 26325.158608476,26325.207474046, 26326.444634003,26326.492002617, 26336.386007666,26336.437523137, 26347.174123451,26347.223787045, 26388.279729468,26388.326447349, 26464.812830475,26464.866665890, 26498.395760960
27189.769009628, 27193.56685030,27193.107039086, 27344.26961895,27344.75412619, 27396.953556747,27397.565147, 27431.833520908,27431.881254877, 27444.826915459,27444.876229346, 27452.342022402,27452.390284278, 27490.697587428,27490.745976051, 27546.988545273,27547.37205915, 27580.765588849,27580.813421519, 27582.27471384,27582.76796878, 27592.27693851,27592.73571194, 27602.838157086,27602.888433387, 27643.943231320,27643.991734323, 27720.423912043,27720.477111440, 27754.25082814
28440.629673367, 28443.913305415,28443.962967479, 28594.19136412,28594.67485539, 28646.945314538,28646.995151091, 28681.800296455,28681.850065461, 28694.859354069,28694.908506072, 28702.381265635,28702.428698299, 28740.732861491,28740.781982878, 28797.32002659,28797.81349609, 28830.915034364,28830.963330704, 28832.199446251,28832.246915221, 28842.136628872,28842.185464689, 28852.928373336,28852.976799438, 28894.70399416,28894.118986528, 28970.550820898,28970.603779160, 29004.108413247
