cubic_start,cubic_end,crc32_start,crc32_end,edn_start,edn_end,huffbench_start,huffbench_end,minver_start,minver_end,st_start,st_end,ud_start,ud_end,matmult_start,matmult_end,mont64_start,mont64_end,nbody_start,nbody_end,nettle_aes_start,nettle_aes_end,nettle_sha256_start,nettle_sha256_end,primecount_start,primecount_end,sg_start,sg_end,tarfind_start,tarfind_end
34046.793305828, 34049.402110206,34049.450697955, 34053.228035574,34053.275724952, 34060.686560589,34060.736590885, 34064.823518178,34064.870963966, 34066.763546032,34066.810156284, 34067.184543690,34067.232496248, 34073.7150087,34073.54321518, 34077.925173393,34077.973214028, 34081.594967929,34081.641531257, 34081.892769056,34081.940637974, 34086.40616149,34086.88464813, 34090.423461957,34090.469984992, 34096.166848517,34096.214543065, 34103.536189656,34103.586038903, 34105.49397831
35309.282971955, 35311.706060468,35311.755749262, 35315.525392592,35315.572556240, 35322.981967120,35323.30859060, 35327.128720638,35327.176656619, 35329.88916971,35329.135672503, 35329.509359299,35329.555884280, 35335.333211158,35335.380801517, 35340.221727233,35340.267037317, 35343.908206950,35343.955178485, 35344.206633669,35344.253440982, 35348.353855276,35348.402055788, 35352.723458836,35352.770240168, 35358.463094881,35358.511353517, 35365.830612311,35365.881098173, 35367.389250176
36569.453044020, 36571.809973889,36571.858891976, 36575.740550647,36575.787913031, 36583.203500830,36583.251836976, 36587.137325080,36587.185396567, 36589.99992818,36589.147505815, 36589.521017716,36589.567219346, 36595.374075312,36595.420804307, 36600.281850683,36600.329710051, 36603.960596326,36604.7697958, 36604.261070355,36604.308418262, 36608.689119299,36608.737260975, 36613.111185622,36613.158864259, 36618.847750835,36618.896782682, 36626.235747734,36626.284913099, 36627.784281766
37821.122858909, 37823.505281226,37823.554247591, 37827.323648379,37827.371892701, 37834.782118380,37834.829533918, 37838.703485230,37838.751146784, 37840.657640969,37840.717241934, 37841.92613686,37841.138705061, 37846.921085330,37846.967990753, 37851.786001960,37851.833469620, 37855.477746488,37855.523653384, 37855.776651594,37855.823586771, 37859.951487114,37859.999997622, 37864.360447768,37864.407616033, 37870.94405861,37870.151624937, 37877.492471197,37877.540793985, 37879.15235849
39108.241389541, 39110.602739611,39110.650028154, 39114.424851532,39114.472726034, 39121.882847734,39121.929784518, 39125.808973265,39125.870118665, 39127.766321570,39127.812677296, 39128.187154547,39128.233464878, 39134.33683638,39134.80704506, 39152.347400712,39152.393440197, 39156.34035505,39156.80241478, 39156.333856816,39156.379730385, 39160.510822708,39160.557511881, 39164.906064229,39164.963956802, 39170.653240200,39170.700345362, 39178.104510495,39178.151085845, 39179.672772889
40371.36721811, 40373.403684823,40373.452268877, 40377.217782618,40377.264797112, 40384.674934644,40384.722096091, 40389.782311627,40389.829387609, 40391.726353202,40391.772303664, 40392.146878188,40392.193233870, 40397.977614632,40398.23803139, 40402.898070307,40402.942868225, 40406.582150547,40406.628028470, 40406.881703700,40406.927135646, 40411.60481097,40411.107399341, 40415.418682123,40415.464976395, 40421.165294022,40421.211894175, 40428.536303068,40428.584004759, 40432.794514917
41624.129989466, 41626.528916420,41626.574722231, 41630.353338172,41630.400549714, 41637.813531277,41637.860570459, 41641.754843065,41641.801224328, 41643.726075632,41643.770829214, 41644.146138677,41644.191093523, 41650.51165841,41650.98789462, 41654.907675755,41654.953057938, 41658.589529395,41658.636339333, 41658.897071142,41658.943462818, 41663.84739482,41663.132439948, 41667.454082576,41667.499858867, 41673.209724479,41673.256811659, 41680.571111126,41680.619016806, 41682.113314985
42965.179575111, 42967.582756641,42967.630337288, 42971.410423740,42971.456720766, 42979.65015532,42979.111785014, 42983.12121541,42983.58969859, 42984.946287425,42984.992293884, 42985.367470644,42985.414027646, 42991.187669898,42991.233533297, 42996.75069702,42996.121476488, 42999.870011203,42999.915861400, 43000.174859287,43000.221055135, 43004.354715618,43004.401217591, 43008.721031005,43008.767739050, 43014.465779790,43014.511860597, 43021.796291802,43021.844485450, 43023.353230419
44216.186691437, 44218.561561565,44218.610012634, 44222.384209822,44222.430375521, 44229.894128063,44229.942329885, 44233.821208927,44233.869543385, 44240.936820245,44240.983814906, 44241.357621485,44241.404450670, 44247.195173556,44247.241386811, 44252.103287640,44252.154932327, 44255.792965262,44255.838970824, 44256.102110678,44256.148317432, 44260.275504547,44260.322771906, 44264.665316948,44264.711861917, 44270.407012937,44270.454586067, 44277.762933816,44277.808459928, 44279.316582171
45471.375318687, 45473.733640414,45473.779335567, 45477.558306415,45477.604587286, 45485.16448187,45485.63663347, 45488.987423648,45489.34275560, 45490.939592682,45490.986106390, 45491.361405325,45491.406336954, 45497.227254352,45497.272600862, 45502.157958191,45502.202701274, 45506.7634715,45506.54291621, 45506.309165781,45506.355602424, 45510.459472000,45510.507343455, 45514.851587121,45514.899099255, 45520.589432643,45520.636922748, 45528.15937261,45528.64693051, 45529.541818462
