cubic_start,cubic_end,crc32_start,crc32_end,edn_start,edn_end,huffbench_start,huffbench_end,minver_start,minver_end,st_start,st_end,ud_start,ud_end,matmult_start,matmult_end,mont64_start,mont64_end,nbody_start,nbody_end,nettle_aes_start,nettle_aes_end,nettle_sha256_start,nettle_sha256_end,primecount_start,primecount_end,sg_start,sg_end,tarfind_start,tarfind_end
26626.129945486, 26629.72770027,26629.121769369, 26780.101144061,26780.149371076, 26833.362604715,26833.413106945, 26868.245815809,26868.296923653, 26881.268378464,26881.317440766, 26888.787500117,26888.836360632, 26927.103473795,26927.151235493, 26983.432693350,26983.481323814, 27017.358791848,27017.404565628, 27018.627726604,27018.677284111, 27028.468606109,27028.517990183, 27038.599840783,27038.644985748, 27079.723967125,27079.773655970, 27156.266066456,27156.318960375, 27189.714486447
27877.147121473, 27880.82069210,27880.129585941, 28031.171546366,28031.218698096, 28084.41986226,28084.91340307, 28118.872564256,28118.931930444, 28131.955684474,28132.1889407, 28139.451727795,28139.499706320, 28177.835445291,28177.883465108, 28234.227905994,28234.279594176, 28268.131366248,28268.178862573, 28269.394602698,28269.443774598, 28279.149270677,28279.197957050, 28289.324443662,28289.373841146, 28330.451837882,28330.500261840, 28406.970370299,28407.22876125, 28440.575130776
29127.741032217, 29130.675255925,29130.725663034, 29281.871792622,29281.920332248, 29334.790911283,29334.840272559, 29369.651817571,29369.701641684, 29382.680552773,29382.729678484, 29390.185278067,29390.229348737, 29428.557564454,29428.605663638, 29484.820367568,29484.868217938, 29518.703681907,29518.752659909, 29519.995198351,29520.44263676, 29529.771942216,29529.821556222, 29539.900999277,29539.947914834, 29581.62726209,29581.111284364, 29657.666683778,29657.720310539, 29691.235919966
30380.849380421, 30383.757328976,30383.806747410, 30534.801305426,30534.850118019, 30587.757158040,30587.805898885, 30622.597166940,30622.647374136, 30635.937245300,30635.985619008, 30643.628511307,30643.676613031, 30681.981067605,30682.28725528, 30738.257465015,30738.305598477, 30772.175881758,30772.223438127, 30773.460531991,30773.517687799, 30783.226672781,30783.278349767, 30793.351985135,30793.400748296, 30834.479955092,30834.528836614, 30910.598855707,30910.643566466, 30944.197538744
31640.561278061, 31643.466686709,31643.516356294, 31795.425222311,31795.473477252, 31848.301976438,31848.351762672, 31883.161587488,31883.211292917, 31896.158262556,31896.207148191, 31903.649402905,31903.697933885, 31942.11537483,31942.61082013, 31998.433065372,31998.482484653, 32032.333354510,32032.382638440, 32033.611399896,32033.659529018, 32043.401148290,32043.449338820, 32053.466462787,32053.515276849, 32094.573666418,32094.621752651, 32171.144989718,32171.198751341, 32204.787716927
32918.938318271, 32921.848301141,32921.897506153, 33073.51506034,33073.100671012, 33125.972004892,33126.20296775, 33160.813040385,33160.863881986, 33173.855078674,33173.903263158, 33181.347113862,33181.395497197, 33219.698232937,33219.747532449, 33275.919556091,33275.966678076, 33309.839930596,33309.887694685, 33311.108386135,33311.155397859, 33320.949435442,33320.998589270, 33331.36530195,33331.85368323, 33372.157451210,33372.205781729, 33448.649815519,33448.702881093, 33482.265189996
34181.674975576, 34184.585066437,34184.634701722, 34335.664490954,34335.712745827, 34388.577937684,34388.623672627, 34423.416323454,34423.476534536, 34436.499991649,34436.545553080, 34443.983922143,34444.34184050, 34482.338829534,34482.386246006, 34538.550178160,34538.597908021, 34572.490166132,34572.538916316, 34573.762541159,34573.810787726, 34583.504640380,34583.554805334, 34593.649346103,34593.697790103, 34634.780328436,34634.829013235, 34711.288665685,34711.342852940, 34744.905203485
35435.707705924, 35438.618116966,35438.668549514, 35589.751110711,35589.798432669, 35642.647746413,35642.697169450, 35677.495713000,35677.546540415, 35690.580293485,35690.629556057, 35698.64241111,35698.112967648, 35736.411973961,35736.459854663, 35792.665182213,35792.711917155, 35826.583318734,35826.630416675, 35827.864342207,35827.913495457, 35837.634314624,35837.684495695, 35847.745368485,35847.793426939, 35888.871639528,35888.919369061, 35965.405105209,35965.457668584, 35999.67821458
36693.195827835, 36696.119543559,36696.169670031, 36847.163655192,36847.212368230, 36900.27973513,36900.77826164, 36934.849221331,36934.899713533, 36947.911751444,36947.960707043, 36955.411679007,36955.460534955, 36993.725255804,36993.774096145, 37050.54674208,37050.102726832, 37083.943825507,37083.992557562, 37085.203538986,37085.250077566, 37094.958155143,37095.6957357, 37105.144928504,37105.193490880, 37146.255707655,37146.304380706, 37222.794168492,37222.848304933, 37256.383745066
37944.653990217, 37947.643252096,37947.691323249, 38098.697340344,38098.745254784, 38151.497394143,38151.545014087, 38186.287599053,38186.337295128, 38199.340666904,38199.389137788, 38206.810741380,38206.858044567, 38282.919569073,38282.967324192, 38339.106062586,38339.151122111, 38372.954130981,38373.1368264, 38374.239619759,38374.287084804, 38383.926575919,38383.974327110, 38394.2955106,38394.48712639, 38435.49870175,38435.97763372, 38511.35655338,38511.89467847, 38544.441341680
